"Paper","Organism","Raw data avilable","Gmatrix","Pmatrix","cormatrix","directory","data link","Reference","Taxon1","Taxon2","NA","NA","NA","NA"
"Beg2001.73.csv","Gryllus.pennsylvanicus",NA,0,NA,1,NA,NA,"Begin.Roff.2001","I","A",NA,NA,NA,NA
"Beg2003.79.csv","Gryllus.pennsylvanicus",NA,0,NA,1,NA,NA,"Begin.Roff.2003","I","A",NA,NA,NA,NA
"Beg2003.81.csv","Gryllus.pennsylvanicus",NA,0,NA,1,NA,NA,"Begin.Roff.2003","I","A",NA,NA,NA,NA
"Beg2003.83.csv","Gryllus.pennsylvanicus",NA,0,NA,1,NA,NA,"Begin.Roff.2003","I","A",NA,NA,NA,NA
"Beg2004.84.csv","Gryllus.firmus",NA,0,NA,1,NA,NA,"Begin.et.al.2004","I","A",NA,NA,NA,NA
"Beg2004.85.csv","Gryllus.firmus",NA,0,NA,1,NA,NA,"Begin.et.al.2004","I","A",NA,NA,NA,NA
"Beg2004.86.csv","Gryllus.firmus",NA,0,NA,1,NA,NA,"Begin.et.al.2004","I","A",NA,NA,NA,NA
"Beg2004.87.csv","Gryllus.firmus",NA,0,NA,1,NA,NA,"Begin.et.al.2004","I","A",NA,NA,NA,NA
"Beg2004.88.csv","Gryllus.firmus",NA,0,NA,1,NA,NA,"Begin.et.al.2004","I","A",NA,NA,NA,NA
"Beg2004.89.csv","Gryllus.firmus",NA,0,NA,1,NA,NA,"Begin.et.al.2004","I","A",NA,NA,NA,NA
"BeRo2004.100.csv","Teleogryllus.oceanicus",NA,0,NA,1,NA,NA,"Begin.Roff.2004","I","A",NA,NA,NA,NA
"BeRo2004.102.csv","Teleogryllus.oceanicus",NA,0,NA,1,NA,NA,"Begin.Roff.2004","I","A",NA,NA,NA,NA
"BeRo2004.104.csv","Teleogryllus.oceanicus",NA,0,NA,1,NA,NA,"Begin.Roff.2004","I","A",NA,NA,NA,NA
"BeRo2004.106.csv","Teleogryllus.oceanicus",NA,0,NA,1,NA,NA,"Begin.Roff.2004","I","A",NA,NA,NA,NA
"BeRo2004.108.csv","Teleogryllus.oceanicus",NA,0,NA,1,NA,NA,"Begin.Roff.2004","I","A",NA,NA,NA,NA
"BeRo2004.96.csv","Teleogryllus.oceanicus",NA,0,NA,1,NA,NA,"Begin.Roff.2004","I","A",NA,NA,NA,NA
"BeRo2004.98.csv","Teleogryllus.oceanicus",NA,0,NA,1,NA,NA,"Begin.Roff.2004","I","A",NA,NA,NA,NA
"Bir2005.120.csv","Taeniopygia.guttata",NA,0,NA,1,NA,NA,"Birkhead.et.al.2005.Nat","V","A",NA,NA,NA,NA
"Bir2005.121.csv","Taeniopygia.guttata",NA,0,NA,1,NA,NA,"Birkhead.et.al.2005.Nat","V","A",NA,NA,NA,NA
"Blo2003.115.csv","Drosophila.serrata",NA,0,NA,1,NA,NA,"Blows.Higgie.2003","I","A",NA,NA,NA,NA
"Blo2003.116.csv","Drosophila.serrata",NA,0,NA,1,NA,NA,"Blows.Higgie.2003","I","A",NA,NA,NA,NA
"Blo2003.117.csv","Drosophila.serrata",NA,0,NA,1,NA,NA,"Blows.Higgie.2003","I","A",NA,NA,NA,NA
"Blo2003.118.csv","Drosophila.serrata",NA,0,NA,1,NA,NA,"Blows.Higgie.2003","I","A",NA,NA,NA,NA
"Blo2004.119.csv","Drosophila.serrata",NA,0,NA,1,NA,NA,"Blows.et.al.2004.Am.Nat","I","A",NA,NA,NA,NA
"Bon2005.128.csv","Prochyliza.xanthostoma",NA,0,NA,1,NA,NA,"Bonduriansky.Rowe.2005.Evo","I","A",NA,NA,NA,NA
"Bon2005.130.csv","Prochyliza.xanthostoma",NA,0,NA,1,NA,NA,"Bonduriansky.Rowe.2005.Evo","I","A",NA,NA,NA,NA
"Bra2004.122.csv","Achroia.grisella",NA,0,NA,1,NA,NA,"Brandt.Greenfield.2004","I","A",NA,NA,NA,NA
"Bra2004.123.csv","Achroia.grisella",NA,0,NA,1,NA,NA,"Brandt.Greenfield.2004","I","A",NA,NA,NA,NA
"Bro2001.124.csv","Poecilia.reticulata",NA,0,NA,1,NA,NA,"Brooks.Endler.2001.Evo","V","A",NA,NA,NA,NA
"Bro2001.125.csv","Poecilia.reticulata",NA,0,NA,1,NA,NA,"Brooks.Endler.2001.Evo","V","A",NA,NA,NA,NA
"Can2004.145.csv","Rana.temporaria",NA,0,NA,1,NA,NA,"Cano.et.al.2004","V","A",NA,NA,NA,NA
"Can2004.146.csv","Rana.temporaria",NA,0,NA,1,NA,NA,"Cano.et.al.2004","V","A",NA,NA,NA,NA
"Can2004.147.csv","Rana.temporaria",NA,0,NA,1,NA,NA,"Cano.et.al.2004","V","A",NA,NA,NA,NA
"Can2004.148.csv","Rana.temporaria",NA,0,NA,1,NA,NA,"Cano.et.al.2004","V","A",NA,NA,NA,NA
"Can2004.149.csv","Rana.temporaria",NA,0,NA,1,NA,NA,"Cano.et.al.2004","V","A",NA,NA,NA,NA
"Can2004.150.csv","Rana.temporaria",NA,0,NA,1,NA,NA,"Cano.et.al.2004","V","A",NA,NA,NA,NA
"Car1994.151.csv","Choristoneura.rosaceana",NA,0,NA,1,NA,NA,"Carriere.Roitberg.1994.EvoEntoAppl","I","A",NA,NA,NA,NA
"Car2004.161.csv","Lobelia.siphilitica",NA,0,NA,1,NA,NA,"Caruso.2004.Evo","P","P",NA,NA,NA,NA
"Car2004.162.csv","Lobelia.siphilitica",NA,0,NA,1,NA,NA,"Caruso.2004.Evo","P","P",NA,NA,NA,NA
"Car2005.157.csv","Lobelia.siphilitica",NA,0,NA,1,NA,NA,"Caruso.et.al.2005.Evo","P","P",NA,NA,NA,NA
"Car2005.158.csv","Lobelia.siphilitica",NA,0,NA,1,NA,NA,"Caruso.et.al.2005.Evo","P","P",NA,NA,NA,NA
"Col1999.163.csv","Achroia.grisella",NA,0,NA,1,NA,NA,"Collins.et.al.1999.Her","I","A",NA,NA,NA,NA
"Col1999.165.csv","Achroia.grisella",NA,0,NA,1,NA,NA,"Collins.et.al.1999.Her","I","A",NA,NA,NA,NA
"Col2005.166.csv","Ovis.canadiensis",NA,0,NA,1,NA,NA,"Coltman.et.al.2005.Evo","V","A",NA,NA,NA,NA
"Con1992.170.csv","Tribolium.castaneum",NA,0,NA,1,NA,NA,"Conner.Via.1992.Her","I","A",NA,NA,NA,NA
"Con1997.169.csv","Raphanus.raphanistrum",NA,0,NA,1,NA,NA,"Conner.1997.IJPS","P","P",NA,NA,NA,NA
"Con2003.167.csv","Raphanus.raphanistrum",NA,0,NA,1,NA,NA,"Conner.et.al.2003","P","P",NA,NA,NA,NA
"Con2003.168.csv","Raphanus.raphanistrum",NA,0,NA,1,NA,NA,"Conner.et.al.2003","P","P",NA,NA,NA,NA
"Con2003.172.csv","Raphanus.raphanistrum",NA,0,NA,1,NA,NA,"Conner.et.al.2003","P","P",NA,NA,NA,NA
"Con2003.173.csv","Raphanus.raphanistrum",NA,0,NA,1,NA,NA,"Conner.et.al.2003","P","P",NA,NA,NA,NA
"Cot2004.179.csv","Spodoptera.littoralis",NA,0,NA,1,NA,NA,"Cotter.et.al.2004.JEB","I","A",NA,NA,NA,NA
"Cow1990.180.csv","Drosophila.melanogaster",NA,0,NA,1,NA,NA,"Cowley.Atchley.1990.AmNat","I","A",NA,NA,NA,NA
"Cow1990.181.csv","Drosophila.melanogaster",NA,0,NA,1,NA,NA,"Cowley.Atchley.1990.AmNat","I","A",NA,NA,NA,NA
