Paper,Organism,Raw data avilable on DRYAD,Gmatrix,cormatrix,directory,data link,Reference,Taxon1,Taxon2,Title,Pmatrix,Means,Paper Link,full reference,Email,
Hlu2009,Papio.hamadryas,1,1,1,NA, http://dx.doi.org/10.5061/dryad.693j8,Hlusko.Mahaney.2009,V,A,"Quantitative Genetics, Pleiotropy, and Morphological Integration in the Dentition of Papio hamadryas",1,1,10.1007/s11692-008-9048-1,"Hlusko, L.J. & Mahaney, M.C. 2009, ""Quantitative Genetics, Pleiotropy, and Morphological Integration in the Dentition of Papio hamadryas"", Evolutionary Biology, vol. 36, no. 1, pp. 5-18.",NA,
Hou2005,Onthophagus.taurus,0,1,1,NA,NA,House.Simmons.2005.JEB,I,A,The evolution of male genitalia: patterns of genetic variation and covariation in the genital sclerites of the dung beetle Onthophagus taurus,1,1,10.1111/j.1420-9101.2005.00926.x,"House, C.M. & Simmons, L.W. 2005, ""The evolution of male genitalia: patterns of genetic variation and covariation in the genital sclerites of the dung beetle Onthophagus taurus"", Journal of Evolutionary Biology, vol. 18, no. 5, pp. 1281-1292.",NA,
Hug1995,Drosophila.melanogaster,0,0,1,NA,NA,Hughes.et.al.1995.Evo,I,A,The evolutionary genetics of male life-history characters in Drosophila melanogaster,1,1,,"Hughes, K.A. 1995, ""The evolutionary genetics of male life-history characters in Drosophila melanogaster"", Evolution, vol. 49, no. 3, pp. 521.",NA,
Hug2005,Poecilia.reticulata,0,0,1,NA,NA,Hughes.et.al.2005.JEB,V,A,Genetic and environmental effects on secondary sex traits in guppies (Poecilia reticulata),0,1,10.1111/j.1420-9101.2004.00806.x,"Hughes, K.A., Rodd, F.H. & Reznick, D.N. 2005, ""Genetic and environmental effects on secondary sex traits in guppies (Poecilia reticulata)"", Journal of Evolutionary Biology, vol. 18, no. 1, pp. 35-45.",NA,
Hun2007,Teleogryllus.commodus,0,0,1,NA,NA,Hunt.et.al.2007.Gen,I,A,Reconciling Strong Stabilizing Selection with the Maintenance of Genetic Variation in a Natural Population of Black Field Crickets (Teleogryllus commodus),0,0,10.1534/genetics.107.077057,"Hunt, J., Blows, M.W., Zajitschek, F., Jennions, M.D. & Brooks, R. 2007, ""Reconciling Strong Stabilizing Selection with the Maintenance of Genetic Variation in a Natural Population of Black Field Crickets (Teleogryllus commodus)"", Genetics, vol. 177, no. 2, pp. 875-880.",NA,
Imb2001,Crepis.sancta,0,0,1,NA,NA,Imbert.2001.Her,P,P,"Capitulum characters in a seed heteromorphic plant, Crepis sancta (Asteraceae): variance partitioning and inference for the evolution of dispersal rate",1,1,10.1046/j.1365-2540.2001.00812.x,"Imbert, E. 2001, ""Capitulum characters in a seed heteromorphic plant, Crepis sancta (Asteraceae): variance partitioning and inference for the evolution of dispersal rate"", Heredity, vol. 86, no. Pt 1, pp. 78-86.",NA,
Jen2003,Passer.domesticus,0,1,1,NA,NA,Jensen.et.al.2003,V,A,Sexual variation in heritability and genetic correlations of morphological traits in house sparrow (Passer domesticus),1,1,10.1046/j.1420-9101.2003.00614.x,"Jensen, H., Saether, B.E., Ringsby, T.H., Tufto, J., Griffith, S.C. & Ellegren, H. 2003, ""Sexual variation in heritability and genetic correlations of morphological traits in house sparrow (Passer domesticus)"", Journal of Evolutionary Biology, vol. 16, no. 6, pp. 1296-1307.",NA,
Kac2008,Innicotiana.alata,0,1,1,NA,NA,Kaczorowski.et.al.2008,P,P,HERITABILITY AND CORRELATION STRUCTURE OF NECTAR AND FLORAL MORPHOLOGY TRAITS INNICOTIANA ALATA,1,1,10.1111/j.1558-5646.2008.00400.x,"Kaczorowski, R.L., Juenger, T.E. & Holtsford, T.P. 2008, ""HERITABILITY AND CORRELATION STRUCTURE OF NECTAR AND FLORAL MORPHOLOGY TRAITS INNICOTIANA ALATA"", Evolution, vol. 62, no. 7, pp. 1738-1750.",NA,
Kau2002,Oncorhynchus.mykiss,0,0,1,NA,NA,Kause.et.al.2002.Aqua,V,A,Coupling body weight and its composition: a quantitative genetic analysis in rainbow trout,1,1,10.1016/S0044-8486(01)00884-5,"Kause, A., Ritola, O., Paananen, T., M‰ntysaari, E. & Eskelinen, U. 2002, ""Coupling body weight and its composition: a quantitative genetic analysis in rainbow trout"", Aquaculture, vol. 211, no. 1, pp. 65-79.",NA,
Kau2003,Oncorhynchus.mykiss,0,0,1,NA,NA,Kause.et.al.2003.Aqua,V,A,Selection against early maturity in large rainbow trout Oncorhynchus mykiss: the quantitative genetics of sexual dimorphism and genotype-by-environment interactions,1,1,10.1016/S0044-8486(03)00244-8,"Kause, A., Ritola, O., Paananen, T., Mantysaari, E. & Eskelinen, U. 2003, ""Selection against early maturity in large rainbow trout Oncorhynchus mykiss: the quantitative genetics of sexual dimorphism and genotype-by-environment interactions"", Aquaculture, vol. 228, no. 1, pp. 53-68.",NA,
